,algorithm,size,iterations,time_ms
329,backtracking,12,261,4.645502
330,forwardchecking,12,193,7.912295
331,forwardchecking,12,193,5.323447
332,forwardchecking,12,193,5.295573
333,backtracking,12,261,4.475012
334,forwardchecking_mrv,12,153,9.721256
335,forwardchecking_mrv,12,153,8.151041
336,forwardchecking,12,193,9.533146
337,forwardchecking_mrv,12,153,14.851031
338,backtracking,12,261,4.355198
339,forwardchecking_mrv,12,153,10.979513
340,backtracking,12,261,4.969735
341,forwardchecking,12,193,6.973857
342,forwardchecking,12,193,6.618741
343,backtracking,12,261,4.971538
344,backtracking,12,261,4.573092
345,forwardchecking_mrv,12,153,8.306
346,forwardchecking,12,193,7.214462
347,backtracking,12,261,3.841713
348,forwardchecking,12,193,10.457337
349,forwardchecking_mrv,12,153,13.353985
350,forwardchecking,12,193,5.862707
351,forwardchecking_mrv,12,153,11.930984
352,forwardchecking_mrv,12,153,9.32141
353,forwardchecking_mrv,12,153,9.30633
354,backtracking,12,261,4.91625
355,forwardchecking,12,193,7.811032
356,backtracking,12,261,4.494928
357,forwardchecking,12,193,5.589577
358,forwardchecking_mrv,12,153,13.232734
359,forwardchecking_mrv,12,153,9.542195
360,backtracking,15,1359,30.196007
361,backtracking,15,1359,40.037015
362,backtracking,15,1359,31.201191
363,backtracking,15,1359,39.20904
364,forwardchecking,15,1026,40.040991
365,forwardchecking_mrv,15,34,2.723937
366,forwardchecking,15,1026,39.546248
367,forwardchecking_mrv,15,34,2.785355
368,forwardchecking,15,1026,43.723122
369,backtracking,15,1359,30.07187
370,forwardchecking_mrv,15,34,2.701633
371,forwardchecking,15,1026,49.209591
372,forwardchecking_mrv,15,34,2.965608
373,backtracking,15,1359,35.199798
374,forwardchecking,15,1026,37.206912
375,forwardchecking_mrv,15,34,2.785132
376,backtracking,15,1359,29.668391
377,backtracking,15,1359,32.556871
378,backtracking,15,1359,31.441292
379,forwardchecking,15,1026,55.170686
380,forwardchecking_mrv,15,34,2.793732
381,forwardchecking,15,1026,48.60907
382,forwardchecking,15,1026,46.989893
383,forwardchecking_mrv,15,34,3.232039
384,forwardchecking_mrv,15,34,5.392614
385,forwardchecking,15,1026,40.691858
386,forwardchecking_mrv,15,34,2.991956
387,backtracking,15,1359,34.305637
388,backtracking,15,1359,30.49356
389,backtracking,15,1359,30.301762
390,backtracking,15,1359,36.306473
391,forwardchecking,15,1026,45.344118
392,forwardchecking_mrv,15,34,2.779249
393,forwardchecking,15,1026,35.919
394,forwardchecking_mrv,15,34,2.704915
395,forwardchecking,15,1026,35.650242
396,forwardchecking_mrv,15,34,3.207967
397,forwardchecking,15,1026,42.857759
398,backtracking,15,1359,31.308641
399,forwardchecking_mrv,15,34,3.066273
400,backtracking,15,1359,29.972586
401,backtracking,15,1359,29.984858
402,backtracking,15,1359,31.836087
403,forwardchecking,15,1026,35.461853
404,forwardchecking_mrv,15,34,2.704252
405,forwardchecking,15,1026,33.763684
406,forwardchecking_mrv,15,34,2.708162
407,forwardchecking,15,1026,33.961371
408,forwardchecking_mrv,15,34,2.747387
409,forwardchecking,15,1026,34.889196
410,forwardchecking_mrv,15,34,2.743901
411,backtracking,15,1359,30.190194
412,backtracking,15,1359,29.672905
413,backtracking,15,1359,29.516139
414,backtracking,15,1359,29.598075
415,forwardchecking,15,1026,34.096546
416,forwardchecking_mrv,15,34,2.687799
417,forwardchecking,15,1026,33.875837
418,forwardchecking_mrv,15,34,2.720097
419,forwardchecking,15,1026,33.961234
420,forwardchecking_mrv,15,34,2.75835
421,forwardchecking,15,1026,35.996468
422,forwardchecking_mrv,15,34,2.79433
423,backtracking,15,1359,31.416348
424,backtracking,15,1359,32.17221
425,backtracking,15,1359,29.669823
426,backtracking,15,1359,30.409485
427,forwardchecking,15,1026,34.080867
428,forwardchecking_mrv,15,34,2.695629
429,forwardchecking,15,1026,35.056075
430,forwardchecking,15,1026,33.917702
431,forwardchecking_mrv,15,34,3.006834
432,forwardchecking_mrv,15,34,2.729831
433,forwardchecking,15,1026,35.653366
434,forwardchecking_mrv,15,34,2.752995
435,backtracking,15,1359,30.088754
436,backtracking,15,1359,29.432339
437,backtracking,15,1359,30.425602
438,backtracking,15,1359,30.121841
439,forwardchecking,15,1026,33.707188
440,forwardchecking_mrv,15,34,2.674364
441,forwardchecking,15,1026,33.889575
442,forwardchecking,15,1026,34.507671
443,forwardchecking_mrv,15,34,2.746286
444,forwardchecking_mrv,15,34,2.932393
445,forwardchecking,15,1026,30.100552
446,forwardchecking_mrv,15,34,1.330524
447,backtracking,15,1359,23.249503
448,forwardchecking,15,1026,17.543963
449,forwardchecking_mrv,15,34,1.335417
