,algorithm,goal_reached,solution_length,explored_states
1353,GoalAgentAStar,True,86,1111
1354,GoalAgentDFS,True,302,2891
1355,GoalAgentDLS,True,136,509
1356,GoalAgentDLS,False,0,3645
1357,GoalAgentUCS,True,16,290
1358,GoalAgentAStar,True,16,37
1359,GoalAgentDFS,True,1998,5151
1360,GoalAgentBFS,True,53,4077
1361,GoalAgentDLS,False,0,4033
1362,GoalAgentUCS,True,111,7596
1363,GoalAgentBFS,True,140,8822
1364,GoalAgentDFS,True,1357,7027
1365,GoalAgentAStar,True,111,2356
1366,GoalAgentDLS,True,129,2451
1367,GoalAgentUCS,True,110,8416
1368,GoalAgentDFS,True,2642,4257
1369,GoalAgentDLS,False,0,1765
1370,GoalAgentUCS,True,53,4077
1371,GoalAgentAStar,True,53,729
1372,GoalAgentBFS,True,109,6229
1373,GoalAgentBFS,True,17,499
1374,GoalAgentAStar,True,110,3822
1375,GoalAgentDFS,True,493,3547
1376,GoalAgentBFS,True,56,5400
1377,GoalAgentDLS,True,73,3285
1378,GoalAgentUCS,True,140,8822
1379,GoalAgentDFS,True,507,7352
1380,GoalAgentUCS,True,17,499
1381,GoalAgentAStar,True,17,100
1382,GoalAgentBFS,True,48,2373
1383,GoalAgentDLS,False,0,3797
1384,GoalAgentDFS,True,412,8322
1385,GoalAgentAStar,True,140,5577
1386,GoalAgentDLS,True,142,700
1387,GoalAgentDFS,True,1384,5448
1388,GoalAgentDLS,True,118,421
1389,GoalAgentBFS,True,26,937
1390,GoalAgentUCS,True,109,6229
1391,GoalAgentUCS,True,48,2373
1392,GoalAgentAStar,True,48,563
1393,GoalAgentBFS,True,21,814
1394,GoalAgentUCS,True,56,5400
1395,GoalAgentAStar,True,109,3098
1396,GoalAgentAStar,True,56,925
1397,GoalAgentBFS,True,37,2147
1398,GoalAgentDFS,True,648,7921
1399,GoalAgentDLS,False,0,3041
1400,GoalAgentUCS,True,26,937
1401,GoalAgentDFS,True,357,8432
1402,GoalAgentAStar,True,26,170
1403,GoalAgentBFS,True,132,7590
1404,GoalAgentDLS,True,63,1995
1405,GoalAgentUCS,True,21,814
1406,GoalAgentAStar,True,21,133
1407,GoalAgentDFS,True,507,8287
1408,GoalAgentBFS,True,25,605
1409,GoalAgentDFS,True,2084,5674
1410,GoalAgentDLS,False,0,3829
1411,GoalAgentBFS,True,113,7576
1412,GoalAgentUCS,True,37,2147
1413,GoalAgentAStar,True,37,144
1414,GoalAgentDLS,False,0,3094
1415,GoalAgentDFS,True,1057,7396
1416,GoalAgentBFS,True,39,2027
1417,GoalAgentDFS,True,1615,5028
1418,GoalAgentDLS,True,85,2238
1419,GoalAgentUCS,True,25,605
1420,GoalAgentAStar,True,25,119
1421,GoalAgentDFS,True,547,3431
1422,GoalAgentDLS,False,0,3593
1423,GoalAgentUCS,True,132,7590
1424,GoalAgentDLS,True,67,2514
1425,GoalAgentUCS,True,39,2027
1426,GoalAgentAStar,True,39,65
1427,GoalAgentBFS,True,90,6332
1428,GoalAgentBFS,True,18,507
1429,GoalAgentAStar,True,132,4480
1430,GoalAgentDFS,True,916,3521
1431,GoalAgentUCS,True,113,7576
1432,GoalAgentDFS,True,220,3858
1433,GoalAgentAStar,True,113,2276
1434,GoalAgentDLS,False,0,3836
1435,GoalAgentDLS,False,0,4773
1436,GoalAgentUCS,True,18,507
1437,GoalAgentAStar,True,18,32
1438,GoalAgentBFS,True,42,3044
1439,GoalAgentBFS,True,94,8691
1440,GoalAgentDFS,True,1470,2708
1441,GoalAgentUCS,True,90,6332
1442,GoalAgentAStar,True,90,1028
1443,GoalAgentBFS,True,83,5181
1444,GoalAgentDLS,False,0,4052
1445,GoalAgentDFS,True,1794,6597
1446,GoalAgentUCS,True,42,3044
1447,GoalAgentAStar,True,42,529
1448,GoalAgentBFS,True,70,7020
1449,GoalAgentDFS,True,499,8207
1450,GoalAgentDLS,False,0,3530
1451,GoalAgentDFS,True,862,1203
1452,GoalAgentDLS,True,119,2589
1453,GoalAgentDLS,False,0,2629
1454,GoalAgentBFS,True,73,6566
1455,GoalAgentDFS,True,845,1776
1456,GoalAgentUCS,True,83,5181
1457,GoalAgentAStar,True,83,1152
1458,GoalAgentUCS,True,94,8691
1459,GoalAgentUCS,True,70,7020
1460,GoalAgentDLS,False,0,3212
1461,GoalAgentBFS,True,27,1250
1462,GoalAgentAStar,True,70,1580
1463,GoalAgentAStar,True,94,2675
1464,GoalAgentUCS,True,73,6566
1465,GoalAgentBFS,True,80,6361
1466,GoalAgentDFS,True,837,7792
1467,GoalAgentAStar,True,73,1504
1468,GoalAgentBFS,True,98,5724
1469,GoalAgentDLS,False,0,3096
1470,GoalAgentDFS,True,1022,1877
1471,GoalAgentBFS,True,44,2486
1472,GoalAgentUCS,True,27,1250
1473,GoalAgentDFS,True,714,4284
1474,GoalAgentAStar,True,27,203
1475,GoalAgentDFS,True,596,2230
1476,GoalAgentDLS,False,0,3316
1477,GoalAgentDLS,False,0,3154
1478,GoalAgentBFS,True,38,2471
1479,GoalAgentDFS,True,1096,1467
1480,GoalAgentDLS,False,0,3528
1481,GoalAgentDLS,False,0,3098
