,algorithm,goal_reached,solution_length,explored_states
950,GoalAgentDFS,True,1534,2593
951,GoalAgentDFS,True,1172,6661
952,GoalAgentDFS,True,1185,6970
953,GoalAgentBFS,True,44,3039
954,GoalAgentBFS,True,41,2254
955,GoalAgentDLS,False,0,3640
956,GoalAgentDLS,False,0,2529
957,GoalAgentDLS,False,0,1408
958,GoalAgentBFS,True,85,5084
959,GoalAgentDFS,True,361,364
960,GoalAgentDLS,False,0,1617
961,GoalAgentDLS,False,0,2234
962,GoalAgentDFS,True,595,7050
963,GoalAgentUCS,True,47,1752
964,GoalAgentBFS,True,129,8233
965,GoalAgentDLS,False,0,3080
966,GoalAgentUCS,True,85,7312
967,GoalAgentDLS,False,0,3433
968,GoalAgentBFS,True,147,8157
969,GoalAgentDLS,True,93,2765
970,GoalAgentDFS,True,1675,6666
971,GoalAgentUCS,True,82,4457
972,GoalAgentUCS,True,90,6607
973,GoalAgentUCS,True,90,4669
974,GoalAgentUCS,True,41,2254
975,GoalAgentDFS,True,2665,3884
976,GoalAgentDLS,False,0,2195
977,GoalAgentDFS,True,443,8446
978,GoalAgentDFS,True,656,7863
979,GoalAgentUCS,True,97,6906
980,GoalAgentUCS,True,63,2784
981,GoalAgentDLS,False,0,1381
982,GoalAgentDLS,True,135,1075
983,GoalAgentDFS,True,839,4242
984,GoalAgentDFS,True,915,7527
985,GoalAgentUCS,True,83,5714
986,GoalAgentDLS,True,134,1774
987,GoalAgentUCS,True,110,8293
988,GoalAgentBFS,True,86,5132
989,GoalAgentUCS,True,35,2078
990,GoalAgentDLS,False,0,2242
991,GoalAgentBFS,True,19,630
992,GoalAgentBFS,True,64,3581
993,GoalAgentDLS,False,0,2368
994,GoalAgentDFS,True,231,478
995,GoalAgentBFS,True,33,1828
996,GoalAgentUCS,True,103,5230
997,GoalAgentDFS,True,1844,2988
998,GoalAgentUCS,True,44,3039
999,GoalAgentDLS,True,105,1451
1000,GoalAgentUCS,True,19,630
1001,GoalAgentBFS,True,14,357
1002,GoalAgentBFS,True,7,85
1003,GoalAgentDLS,False,0,2604
1004,GoalAgentBFS,True,81,7313
1005,GoalAgentBFS,True,62,5175
1006,GoalAgentDFS,True,431,797
1007,GoalAgentBFS,True,113,7531
1008,GoalAgentBFS,True,97,7814
1009,GoalAgentBFS,True,100,8719
1010,GoalAgentUCS,True,129,8233
1011,GoalAgentUCS,True,85,5084
1012,GoalAgentDLS,True,127,1651
1013,GoalAgentDFS,True,1268,1626
1014,GoalAgentBFS,True,65,6682
1015,GoalAgentUCS,True,7,85
1016,GoalAgentDFS,True,1572,6275
1017,GoalAgentBFS,True,45,3333
1018,GoalAgentDFS,True,841,2824
1019,GoalAgentDFS,True,783,7557
1020,GoalAgentDFS,True,1041,1223
1021,GoalAgentUCS,True,147,8157
1022,GoalAgentBFS,True,101,7523
1023,GoalAgentDLS,False,0,3287
1024,GoalAgentDFS,True,2563,4624
1025,GoalAgentUCS,True,86,5132
1026,GoalAgentBFS,True,25,986
1027,GoalAgentDLS,False,0,4758
1028,GoalAgentDFS,True,1975,6164
1029,GoalAgentDFS,True,293,4438
1030,GoalAgentDLS,False,0,2972
1031,GoalAgentDLS,False,0,1620
1032,GoalAgentDLS,False,0,2821
1033,GoalAgentDLS,True,141,852
1034,GoalAgentDFS,True,502,8150
1035,GoalAgentDLS,True,116,1081
1036,GoalAgentDFS,True,514,7856
1037,GoalAgentUCS,True,33,1828
1038,GoalAgentBFS,True,110,6429
1039,GoalAgentUCS,True,14,357
1040,GoalAgentDLS,False,0,3029
1041,GoalAgentBFS,True,89,7194
1042,GoalAgentDLS,False,0,3832
1043,GoalAgentUCS,True,64,3581
1044,GoalAgentUCS,True,62,5175
1045,GoalAgentDFS,True,1553,5725
1046,GoalAgentBFS,True,96,8515
1047,GoalAgentDFS,True,1560,2618
1048,GoalAgentDLS,False,0,4033
1049,GoalAgentDFS,True,779,6659
1050,GoalAgentDLS,False,0,2425
1051,GoalAgentUCS,True,45,3333
1052,GoalAgentDFS,True,709,3915
1053,GoalAgentDLS,True,131,957
1054,GoalAgentBFS,True,39,2570
1055,GoalAgentBFS,True,69,7127
1056,GoalAgentDLS,False,0,2399
1057,GoalAgentUCS,True,65,6682
1058,GoalAgentDFS,True,485,769
1059,GoalAgentUCS,True,25,986
1060,GoalAgentUCS,True,97,7814
1061,GoalAgentUCS,True,113,7531
1062,GoalAgentDLS,True,81,676
1063,GoalAgentBFS,True,45,3533
1064,GoalAgentDFS,True,2558,4781
1065,GoalAgentDLS,False,0,4156
1066,GoalAgentBFS,True,106,8366
1067,GoalAgentUCS,True,81,7313
1068,GoalAgentUCS,True,39,2570
1069,GoalAgentBFS,True,99,6528
1070,GoalAgentDLS,False,0,3277
1071,GoalAgentBFS,True,41,2778
1072,GoalAgentDFS,True,1659,5916
1073,GoalAgentDFS,True,1911,4272
1074,GoalAgentBFS,True,43,2866
1075,GoalAgentBFS,True,71,3889
1076,GoalAgentUCS,True,101,7523
1077,GoalAgentUCS,True,110,6429
1078,GoalAgentUCS,True,100,8719
1079,GoalAgentBFS,True,144,8826
1080,GoalAgentDFS,True,1559,2467
1081,GoalAgentBFS,True,17,515
1082,GoalAgentDLS,False,0,2471
1083,GoalAgentDFS,True,1530,5715
1084,GoalAgentBFS,True,25,1094
1085,GoalAgentDLS,False,0,3863
1086,GoalAgentBFS,True,39,1872
1087,GoalAgentDLS,False,0,3005
1088,GoalAgentDFS,True,793,3363
1089,GoalAgentUCS,True,89,7194
1090,GoalAgentBFS,True,135,8948
1091,GoalAgentDFS,True,2413,4384
1092,GoalAgentDFS,True,954,4339
1093,GoalAgentDFS,True,567,7943
1094,GoalAgentUCS,True,45,3533
1095,GoalAgentBFS,True,78,6508
1096,GoalAgentDLS,False,0,3979
1097,GoalAgentDFS,True,2129,2934
1098,GoalAgentBFS,True,102,8419
1099,GoalAgentUCS,True,41,2778
1100,GoalAgentDFS,True,1459,5285
1101,GoalAgentDLS,False,0,3586
1102,GoalAgentUCS,True,96,8515
1103,GoalAgentDLS,False,0,2851
1104,GoalAgentDLS,False,0,1962
1105,GoalAgentDLS,False,0,3956
1106,GoalAgentDFS,True,780,3205
1107,GoalAgentDLS,False,0,4827
1108,GoalAgentUCS,True,39,1872
1109,GoalAgentDLS,False,0,3911
1110,GoalAgentBFS,True,30,783
1111,GoalAgentDFS,True,2059,6111
1112,GoalAgentUCS,True,69,7127
1113,GoalAgentUCS,True,17,515
1114,GoalAgentDFS,True,215,8664
1115,GoalAgentUCS,True,71,3889
1116,GoalAgentUCS,True,43,2866
1117,GoalAgentDLS,False,0,3068
1118,GoalAgentBFS,True,19,617
1119,GoalAgentDFS,True,804,5625
1120,GoalAgentDLS,True,131,2321
1121,GoalAgentDFS,True,541,1252
1122,GoalAgentBFS,True,78,7557
1123,GoalAgentDLS,False,0,3758
1124,GoalAgentUCS,True,25,1094
1125,GoalAgentBFS,True,31,963
1126,GoalAgentUCS,True,106,8366
1127,GoalAgentDLS,False,0,2691
1128,GoalAgentBFS,True,85,5847
1129,GoalAgentDLS,False,0,2326
1130,GoalAgentBFS,True,121,6519
1131,GoalAgentBFS,True,25,1108
1132,GoalAgentUCS,True,19,617
1133,GoalAgentUCS,True,99,6528
1134,GoalAgentBFS,True,44,2874
1135,GoalAgentUCS,True,144,8826
1136,GoalAgentDFS,True,601,2482
1137,GoalAgentBFS,True,50,1098
1138,GoalAgentDFS,True,382,8333
1139,GoalAgentDFS,True,1962,5878
1140,GoalAgentBFS,True,47,1594
1141,GoalAgentDFS,True,1676,1992
1142,GoalAgentUCS,True,78,6508
1143,GoalAgentDFS,True,293,297
1144,GoalAgentDLS,True,128,741
1145,GoalAgentBFS,True,72,6352
1146,GoalAgentBFS,True,37,2048
1147,GoalAgentBFS,True,57,1634
1148,GoalAgentDFS,True,2397,3705
1149,GoalAgentUCS,True,30,783
1150,GoalAgentBFS,True,85,7070
1151,GoalAgentDLS,False,0,2295
1152,GoalAgentDLS,False,0,3282
1153,GoalAgentBFS,True,19,595
1154,GoalAgentDLS,False,0,2811
1155,GoalAgentDFS,True,987,7233
1156,GoalAgentDLS,False,0,2248
1157,GoalAgentDFS,True,1465,2740
1158,GoalAgentDLS,False,0,4233
1159,GoalAgentDFS,True,828,3414
1160,GoalAgentUCS,True,135,8948
1161,GoalAgentUCS,True,47,1594
1162,GoalAgentDFS,True,583,2429
1163,GoalAgentDLS,False,0,2533
1164,GoalAgentUCS,True,102,8419
1165,GoalAgentDFS,True,709,7970
1166,GoalAgentDLS,False,0,2174
1167,GoalAgentUCS,True,31,963
1168,GoalAgentDLS,True,127,1845
1169,GoalAgentDLS,True,101,1020
1170,GoalAgentUCS,True,19,595
1171,GoalAgentDLS,False,0,3660
1172,GoalAgentUCS,True,44,2874
1173,GoalAgentDFS,True,1815,5422
1174,GoalAgentUCS,True,25,1108
1175,GoalAgentUCS,True,85,5847
1176,GoalAgentBFS,True,75,4418
1177,GoalAgentDFS,True,452,8317
1178,GoalAgentDLS,True,140,540
1179,GoalAgentDFS,True,737,7979
1180,GoalAgentDLS,False,0,2026
1181,GoalAgentUCS,True,37,2048
1182,GoalAgentBFS,True,61,3753
1183,GoalAgentUCS,True,50,1098
1184,GoalAgentUCS,True,121,6519
1185,GoalAgentUCS,True,78,7557
1186,GoalAgentDFS,True,885,3536
1187,GoalAgentDLS,True,141,1331
1188,GoalAgentUCS,True,57,1634
1189,GoalAgentUCS,True,72,6352
1190,GoalAgentBFS,True,104,7472
1191,GoalAgentDFS,True,941,4975
1192,GoalAgentDLS,False,0,4074
1193,GoalAgentDFS,True,1248,2023
1194,GoalAgentDLS,False,0,2255
1195,GoalAgentUCS,True,85,7070
1196,GoalAgentUCS,True,75,4418
1197,GoalAgentDLS,False,0,3193
1198,GoalAgentUCS,True,61,3753
1199,GoalAgentUCS,True,104,7472
